t,o,h,l,c,v,instrument_id
1763652840000,25252.0,25269.5,25247.25,25262.0,1008.0,158704
1763652900000,25262.25,25277.5,25258.75,25275.0,1190.0,158704
1763652960000,25274.25,25289.5,25272.5,25289.5,1431.0,158704
1763653020000,25288.75,25309.5,25280.5,25307.75,2865.0,158704
1763653080000,25307.25,25310.0,25278.75,25291.0,1729.0,158704
1763653140000,25290.75,25299.25,25281.25,25291.75,1317.0,158704
1763653200000,25291.75,25296.5,25267.0,25280.25,1566.0,158704
1763653260000,25280.5,25284.0,25270.75,25282.25,1085.0,158704
1763653320000,25282.0,25292.5,25275.25,25285.75,1253.0,158704
1763653380000,25285.25,25301.25,25283.5,25292.75,1178.0,158704
1763653440000,25291.5,25305.75,25289.5,25297.25,1163.0,158704
1763653500000,25296.75,25300.5,25287.0,25298.5,1418.0,158704
1763653560000,25298.75,25300.25,25261.75,25269.0,2787.0,158704
1763653620000,25270.25,25279.75,25266.0,25269.75,1515.0,158704
1763653680000,25270.0,25270.25,25230.25,25240.75,2859.0,158704
1763653740000,25241.25,25244.0,25228.75,25230.75,1678.0,158704
1763653800000,25232.0,25238.5,25219.75,25236.25,2269.0,158704
1763653860000,25235.75,25235.75,25218.0,25219.25,1454.0,158704
1763653920000,25218.75,25226.0,25210.25,25213.25,1352.0,158704
1763653980000,25214.25,25218.25,25203.0,25214.75,1738.0,158704
1763654040000,25215.25,25223.0,25192.25,25193.5,2133.0,158704
1763654100000,25193.25,25195.25,25175.25,25178.25,3688.0,158704
1763654160000,25178.0,25183.75,25165.25,25170.5,2318.0,158704
1763654220000,25170.0,25206.0,25168.5,25198.0,2522.0,158704
1763654280000,25197.25,25197.25,25170.25,25173.0,1801.0,158704
1763654340000,25173.25,25178.0,25157.5,25162.75,2132.0,158704
1763654400000,25162.75,25164.75,25117.0,25129.75,5513.0,158704
1763654460000,25129.5,25132.5,25111.25,25126.25,2969.0,158704
