bar_open_ns,known_at_ns,previous-18:00 / HLC3,previous-18:00 / close,previous-18:00 / OHLC4,previous-18:00 / native-trades,midnight-00:00 / HLC3,midnight-00:00 / close,midnight-00:00 / OHLC4,midnight-00:00 / native-trades,london-02:00 / HLC3,london-02:00 / close,london-02:00 / OHLC4,london-02:00 / native-trades,cash-09:30 / HLC3,cash-09:30 / close,cash-09:30 / OHLC4,cash-09:30 / native-trades
1771888920000000000,1771888980000000000,24795.269163486006,24797.42763994911,24794.872395833332,24793.450381679388,,,,,,,,,,,,
1771888980000000000,1771889040000000000,24795.178649749374,24797.29338972431,24794.779389880954,24793.40765977444,,,,,,,,,,,,
1771889040000000000,1771889100000000000,24795.113402840736,24797.194620731338,24794.69216530674,24793.438274403143,,,,,,,,,,,,
1771889100000000000,1771889160000000000,24795.062642312645,24797.13097713098,24794.65870953371,24793.401395901397,,,,,,,,,,,,
1771889160000000000,1771889220000000000,24795.053352010225,24797.11589501622,24794.6505086995,24793.4026098496,,,,,,,,,,,,
1771889220000000000,1771889280000000000,24795.055247274144,24797.10995911215,24794.655684141355,24793.418662383177,,,,,,,,,,,,
1771889280000000000,1771889340000000000,24795.23839928899,24797.300729722145,24794.82028838058,24793.655837777154,,,,,,,,,,,,
1771889340000000000,1771889400000000000,24795.558577500455,24797.616047205644,24795.128696418884,24794.011733586543,,,,,,,,,,,,
1771889400000000000,1771889460000000000,24796.11881467954,24798.215627445865,24795.663073962955,24794.603117662406,,,,,,,,,,,,
1771889460000000000,1771889520000000000,24797.742755382875,24799.705985915494,24797.208975837784,24796.35630160272,,,,,,,,,,,,
1771889520000000000,1771889580000000000,24798.38283400173,24800.3423566879,24797.86131752772,24797.017810804435,,,,,,,,,,,,
1771889580000000000,1771889640000000000,24798.841038680846,24800.7226074896,24798.33042938049,24797.52063106796,,,,,,,,,,,,
1771889640000000000,1771889700000000000,24799.158060357902,24801.01364877161,24798.65558177889,24797.848896724292,,,,,,,,,,,,
1771889700000000000,1771889760000000000,24799.563819506395,24801.396074933094,24799.063433876003,24798.27347234612,,,,,,,,,,,,
1771889760000000000,1771889820000000000,24799.800007348622,24801.60934744268,24799.305596891536,24798.526840828923,,,,,,,,,,,,
1771889820000000000,1771889880000000000,24800.490661988802,24802.217999149478,24800.01824633213,24799.266213055496,,,,,,,,,,,,
1771889880000000000,1771889940000000000,24800.90916459713,24802.592611754968,24800.45492290977,24799.69862375828,,,,,,,,,,,,
1771889940000000000,1771890000000000000,24800.972840651415,24802.647083075655,24800.519970109257,24799.768501339928,,,,,,,,,,,,
1771890000000000000,1771890060000000000,24801.160393716855,24802.819818441454,24800.710934312527,24799.96761525908,,,,,,,,,,,,
1771890060000000000,1771890120000000000,24801.258571718405,24802.913927774396,24800.809748427673,24800.071515520387,,,,,,,,,,,,
1771890120000000000,1771890180000000000,24801.37638190955,24802.997939698493,24800.94326633166,24800.194773869345,,,,,,,,,,,,
1771890180000000000,1771890240000000000,24801.48592453576,24803.079612801263,24801.07314302647,24800.325612406163,,,,,,,,,,,,
1771890240000000000,1771890300000000000,24801.758317307696,24803.33625,24801.32829326923,24800.63846153846,,,,,,,,,,,,
1771890300000000000,1771890360000000000,24802.080305006835,24803.681606410733,24801.654561125604,24800.975400670886,,,,,,,,,,,,
1771890360000000000,1771890420000000000,24802.32248962909,24803.87564055637,24801.905129026356,24801.245287335285,,,,,,,,,,,,
1771890420000000000,1771890480000000000,24802.439884135474,24803.911408199645,24802.073507130124,24801.3991087344,,,,,,,,,,,,
1771890480000000000,1771890540000000000,24802.43757703821,24803.866921993307,24802.083245289665,24801.42067265364,,,,,,,,,,,,
1771890540000000000,1771890600000000000,24802.4408770103,24803.840029503644,24802.08654763971,24801.43730475529,,,,,,,,,,,,
1771890600000000000,1771890660000000000,24802.396916652368,24803.760940449632,24802.054906040845,24801.4125622104,,,,,,,,,,,,
1771890660000000000,1771890720000000000,24802.238169069173,24803.585945357023,24801.912378478042,24801.26097888032,,,,,,,,,,,,
1771890720000000000,1771890780000000000,24802.238421369206,24803.626763451444,24801.888923064304,24801.272596784776,,,,,,,,,,,,
1771890780000000000,1771890840000000000,24802.283820521105,24803.655805878552,24801.936187822997,24801.33894541344,,,,,,,,,,,,
