reset,basis,n_points,total_source_points,full_coverage,rmse_points,mae_points,max_abs_error_points,validation
previous-18:00,OHLC4,13,13,True,1.3902507972426466,1.1310784546210646,2.7357187269408314,within-example fit; no holdout; no performance claim
previous-18:00,HLC3,13,13,True,1.4846384621993398,1.2657182689561943,3.0046721357321076,within-example fit; no holdout; no performance claim
previous-18:00,native-trades,13,13,True,1.5081746121621515,1.1352243539219602,3.2813382624372025,within-example fit; no holdout; no performance claim
previous-18:00,close,13,13,True,1.7361415223866883,1.5628486644759856,3.4344363064155914,within-example fit; no holdout; no performance claim
midnight-00:00,OHLC4,13,13,True,3.3650250343058805,3.2424009408999925,4.605811649467796,within-example fit; no holdout; no performance claim
london-02:00,OHLC4,13,13,True,3.3897482665938172,2.736501275767995,6.967595364763838,within-example fit; no holdout; no performance claim
midnight-00:00,native-trades,13,13,True,3.4387885823993116,3.266073752066754,5.473071417891333,within-example fit; no holdout; no performance claim
midnight-00:00,HLC3,13,13,True,3.495144460725695,3.3818241411690204,5.189707107609138,within-example fit; no holdout; no performance claim
london-02:00,HLC3,13,13,True,3.5161533466113566,2.870023740070722,7.586182377199293,within-example fit; no holdout; no performance claim
london-02:00,native-trades,13,13,True,3.572955954511828,2.8142755048202863,7.884530718623864,within-example fit; no holdout; no performance claim
london-02:00,close,13,13,True,3.7224672340596308,3.1087279943307156,8.381398593613994,within-example fit; no holdout; no performance claim
midnight-00:00,close,13,13,True,3.78113692303674,3.6519366722764413,5.925927706211951,within-example fit; no holdout; no performance claim
cash-09:30,OHLC4,8,13,False,22.83062692363647,15.662909737112841,56.000679470620526,within-example fit; no holdout; no performance claim
cash-09:30,HLC3,8,13,False,23.415864728340416,15.876613883989194,58.19505490600204,within-example fit; no holdout; no performance claim
cash-09:30,native-trades,8,13,False,23.746184107649928,16.061458362851226,58.60725760428613,within-example fit; no holdout; no performance claim
cash-09:30,close,8,13,False,24.192483777696996,16.077632332059693,61.56401113351967,within-example fit; no holdout; no performance claim
