bar_open_et,x,y,bar_open_ns,known_at_ns,source_price,reconstructed_hlc3,error_points
08:30,72,257,1771939800000000000,1771939860000000000,24829.333333333332,24830.01380013156,0.6804667982287356
08:40,135,256,1771940400000000000,1771940460000000000,24830.095238095237,24830.40924529681,0.3140072015739861
08:50,197,255,1771941000000000000,1771941060000000000,24830.85714285714,24831.533957553755,0.6768146966132917
09:00,260,254,1771941600000000000,1771941660000000000,24831.619047619046,24832.653429807524,1.0343821884780482
09:10,322,253,1771942200000000000,1771942260000000000,24832.380952380954,24833.419435955177,1.0384835742224823
09:35,478,265,1771943700000000000,1771943760000000000,24823.238095238095,24820.233423102363,-3.0046721357321076
09:45,541,266,1771944300000000000,1771944360000000000,24822.47619047619,24820.146591416367,-2.329599059823522
09:50,572,256,1771944600000000000,1771944660000000000,24830.095238095237,24831.231467518515,1.1362294232785644
10:05,666,248,1771945500000000000,1771945560000000000,24836.190476190477,24838.338137641087,2.1476614506100304
10:10,697,245,1771945800000000000,1771945860000000000,24838.47619047619,24840.28188096319,1.805690486999083
10:15,729,242,1771946100000000000,1771946160000000000,24840.761904761905,24841.744832382887,0.9829276209820819
10:20,760,240,1771946400000000000,1771946460000000000,24842.285714285714,24843.097433804072,0.8117195183585864
10:25,791,235,1771946700000000000,1771946760000000000,24846.095238095237,24846.586921436767,0.49168334153000615
