t,o,h,l,c,v,instrument_id
1788354000000,29040.25,29054.25,29037.75,29047.0,513.0,42004177
1788354060000,29048.0,29050.0,29044.5,29047.5,311.0,42004177
1788354120000,29049.0,29059.0,29048.5,29055.5,296.0,42004177
1788354180000,29056.0,29059.0,29052.25,29053.25,269.0,42004177
1788354240000,29053.25,29058.5,29051.75,29054.5,220.0,42004177
1788354300000,29054.25,29060.5,29049.75,29058.25,435.0,42004177
1788354360000,29058.75,29067.25,29055.0,29063.5,315.0,42004177
1788354420000,29064.0,29065.5,29061.5,29062.25,120.0,42004177
1788354480000,29062.0,29067.0,29061.0,29066.5,170.0,42004177
1788354540000,29066.25,29070.0,29062.0,29063.5,205.0,42004177
1788354600000,29062.0,29067.25,29060.0,29061.25,205.0,42004177
1788354660000,29061.75,29066.25,29061.25,29064.25,114.0,42004177
1788354720000,29063.0,29064.0,29059.25,29063.75,74.0,42004177
1788354780000,29064.0,29070.25,29061.5,29068.0,206.0,42004177
1788354840000,29067.75,29070.5,29066.75,29067.5,120.0,42004177
1788354900000,29068.5,29072.0,29064.25,29068.5,149.0,42004177
1788354960000,29068.75,29074.25,29066.5,29070.75,183.0,42004177
1788355020000,29071.75,29073.0,29068.25,29071.25,66.0,42004177
1788355080000,29072.5,29079.5,29071.75,29078.0,216.0,42004177
1788355140000,29078.75,29080.0,29074.25,29075.0,289.0,42004177
1788355200000,29075.25,29080.75,29071.75,29073.5,264.0,42004177
1788355260000,29073.0,29080.75,29072.0,29079.0,233.0,42004177
1788355320000,29079.0,29086.0,29078.0,29084.5,273.0,42004177
1788355380000,29084.0,29092.5,29083.75,29089.5,239.0,42004177
1788355440000,29089.75,29091.75,29086.0,29089.75,243.0,42004177
1788355500000,29088.75,29090.5,29078.25,29082.0,607.0,42004177
1788355560000,29082.0,29101.5,29082.0,29099.25,487.0,42004177
1788355620000,29100.25,29110.75,29097.5,29110.5,973.0,42004177
1788355680000,29109.5,29115.25,29104.0,29108.0,716.0,42004177
1788355740000,29108.5,29110.25,29095.0,29098.5,697.0,42004177
1788355800000,29098.75,29102.75,29042.75,29066.25,5490.0,42004177
1788355860000,29064.75,29083.5,29044.5,29055.25,3720.0,42004177
1788355920000,29054.75,29084.5,29053.0,29079.25,2284.0,42004177
1788355980000,29079.25,29087.25,29061.0,29073.25,2196.0,42004177
1788356040000,29072.5,29088.0,29067.0,29083.75,1921.0,42004177
1788356100000,29083.75,29090.5,29057.75,29065.5,2189.0,42004177
1788356160000,29065.0,29070.75,29049.75,29051.5,2267.0,42004177
1788356220000,29051.75,29060.5,29036.5,29047.25,2297.0,42004177
1788356280000,29048.25,29062.0,29039.5,29057.0,1581.0,42004177
1788356340000,29057.5,29088.0,29052.5,29086.75,1631.0,42004177
1788356400000,29087.0,29110.25,29075.25,29100.5,2434.0,42004177
1788356460000,29099.75,29112.5,29091.5,29106.75,2032.0,42004177
1788356520000,29107.75,29119.0,29101.25,29109.5,1480.0,42004177
1788356580000,29109.75,29110.5,29081.0,29083.0,1654.0,42004177
1788356640000,29083.0,29099.75,29082.25,29091.0,739.0,42004177
1788356700000,29090.25,29112.5,29069.75,29080.25,2570.0,42004177
1788356760000,29079.25,29083.75,29049.75,29064.75,2383.0,42004177
1788356820000,29064.0,29086.0,29061.25,29079.0,1351.0,42004177
1788356880000,29078.75,29082.5,29062.0,29064.5,1086.0,42004177
1788356940000,29065.0,29065.75,29041.75,29047.5,1412.0,42004177
