t,o,h,l,c,v,instrument_id
1763643600000,25156.0,25159.25,25150.75,25158.5,186.0,158704
1763643660000,25158.5,25169.5,25157.75,25163.25,348.0,158704
1763643720000,25163.5,25172.5,25163.5,25171.25,244.0,158704
1763643780000,25170.5,25174.5,25166.0,25173.25,242.0,158704
1763643840000,25173.75,25181.0,25168.0,25168.5,383.0,158704
1763643900000,25168.25,25173.25,25167.5,25170.25,142.0,158704
1763643960000,25170.25,25172.75,25158.0,25171.5,211.0,158704
1763644020000,25169.5,25181.0,25169.5,25176.5,261.0,158704
1763644080000,25176.75,25176.75,25166.25,25171.0,194.0,158704
1763644140000,25169.5,25176.5,25165.0,25166.25,218.0,158704
1763644200000,25165.0,25170.5,25159.75,25163.5,333.0,158704
1763644260000,25164.5,25167.5,25155.5,25167.5,234.0,158704
1763644320000,25168.5,25169.0,25158.5,25160.75,148.0,158704
1763644380000,25161.25,25169.0,25161.25,25166.0,114.0,158704
1763644440000,25165.0,25172.0,25163.75,25171.0,122.0,158704
1763644500000,25171.0,25173.0,25164.25,25165.25,254.0,158704
1763644560000,25165.5,25167.75,25160.5,25166.0,184.0,158704
1763644620000,25164.5,25175.0,25161.5,25173.75,207.0,158704
1763644680000,25175.0,25178.25,25160.0,25162.75,283.0,158704
1763644740000,25161.75,25162.75,25144.5,25148.5,425.0,158704
1763644800000,25147.75,25150.25,25136.75,25145.5,353.0,158704
1763644860000,25146.0,25150.25,25140.0,25147.5,382.0,158704
1763644920000,25147.25,25148.5,25138.5,25139.75,132.0,158704
1763644980000,25140.25,25140.75,25123.5,25125.0,402.0,158704
1763645040000,25127.25,25137.75,25127.0,25135.25,241.0,158704
1763645100000,25133.75,25142.75,25131.5,25138.0,264.0,158704
1763645160000,25139.25,25142.5,25132.75,25133.25,187.0,158704
1763645220000,25133.75,25135.0,25124.75,25130.25,241.0,158704
1763645280000,25131.0,25131.25,25120.75,25127.25,303.0,158704
1763645340000,25128.25,25144.25,25127.5,25142.25,370.0,158704
1763645400000,25130.75,25200.5,25130.0,25199.25,1644.0,158704
1763645460000,25197.5,25244.0,25186.75,25222.75,2102.0,158704
1763645520000,25224.25,25230.5,25210.75,25218.0,899.0,158704
1763645580000,25217.0,25218.0,25182.75,25193.5,1319.0,158704
1763645640000,25192.5,25206.5,25185.0,25187.25,637.0,158704
1763645700000,25186.0,25205.5,25183.5,25188.75,856.0,158704
1763645760000,25189.5,25200.0,25172.5,25188.0,777.0,158704
1763645820000,25187.5,25204.0,25181.5,25190.5,586.0,158704
1763645880000,25190.5,25205.0,25188.25,25202.25,504.0,158704
1763645940000,25202.25,25205.25,25175.75,25180.5,805.0,158704
1763646000000,25180.5,25183.75,25170.75,25180.0,566.0,158704
1763646060000,25180.0,25202.0,25167.75,25198.25,652.0,158704
1763646120000,25197.25,25204.5,25188.25,25194.0,528.0,158704
1763646180000,25195.5,25203.5,25195.5,25201.25,228.0,158704
1763646240000,25201.5,25207.25,25195.25,25197.25,390.0,158704
1763646300000,25199.5,25214.25,25185.0,25213.25,705.0,158704
1763646360000,25214.0,25224.25,25203.25,25221.0,687.0,158704
1763646420000,25221.5,25228.25,25215.25,25224.75,405.0,158704
1763646480000,25225.75,25236.0,25224.25,25232.75,529.0,158704
1763646540000,25232.5,25244.75,25227.25,25242.5,782.0,158704
1763646600000,25242.5,25244.5,25234.25,25242.25,574.0,158704
1763646660000,25242.0,25263.25,25240.5,25259.75,1391.0,158704
1763646720000,25259.25,25264.75,25253.25,25260.5,711.0,158704
1763646780000,25261.25,25261.5,25245.25,25249.0,432.0,158704
1763646840000,25249.75,25255.25,25243.5,25250.25,419.0,158704
1763646900000,25251.5,25252.75,25225.75,25231.0,668.0,158704
1763646960000,25231.75,25236.5,25223.5,25227.75,448.0,158704
