t,o,h,l,c,v,instrument_id
1771943400000,24805.0,24826.0,24788.75,24812.5,5312.0,42002475
1771943460000,24812.75,24821.25,24753.75,24765.75,4662.0,42002475
1771943520000,24766.0,24785.5,24756.25,24768.75,2994.0,42002475
1771943580000,24768.25,24772.5,24719.25,24722.25,3537.0,42002475
1771943640000,24721.75,24746.75,24708.75,24739.0,3610.0,42002475
1771943700000,24739.0,24747.0,24720.0,24735.0,3332.0,42002475
1771943760000,24734.25,24738.5,24696.25,24720.5,3675.0,42002475
1771943820000,24720.75,24728.25,24694.5,24723.0,2958.0,42002475
1771943880000,24722.25,24807.5,24719.75,24797.0,4555.0,42002475
1771943940000,24797.5,24815.5,24793.25,24803.0,3257.0,42002475
