as_of_ns,volume,price_ticks_times_volume,vwap
1771939260000000000,0,0,
1771939320000000000,0,0,
1771939380000000000,0,0,
1771939440000000000,0,0,
1771939500000000000,0,0,
1771939560000000000,0,0,
1771939620000000000,0,0,
1771939680000000000,0,0,
1771939740000000000,0,0,
1771939800000000000,0,0,
1771939860000000000,0,0,
1771939920000000000,0,0,
1771939980000000000,0,0,
1771940040000000000,0,0,
1771940100000000000,0,0,
1771940160000000000,0,0,
1771940220000000000,0,0,
1771940280000000000,0,0,
1771940340000000000,0,0,
1771940400000000000,0,0,
1771940460000000000,0,0,
1771940520000000000,0,0,
1771940580000000000,0,0,
1771940640000000000,0,0,
1771940700000000000,0,0,
1771940760000000000,0,0,
1771940820000000000,0,0,
1771940880000000000,0,0,
1771940940000000000,0,0,
1771941000000000000,0,0,
1771941060000000000,0,0,
1771941120000000000,0,0,
1771941180000000000,0,0,
1771941240000000000,0,0,
1771941300000000000,0,0,
1771941360000000000,0,0,
1771941420000000000,0,0,
1771941480000000000,0,0,
1771941540000000000,0,0,
1771941600000000000,0,0,
1771941660000000000,0,0,
1771941720000000000,0,0,
1771941780000000000,0,0,
1771941840000000000,0,0,
1771941900000000000,0,0,
1771941960000000000,0,0,
1771942020000000000,0,0,
1771942080000000000,0,0,
1771942140000000000,0,0,
1771942200000000000,0,0,
1771942260000000000,0,0,
1771942320000000000,0,0,
1771942380000000000,0,0,
1771942440000000000,0,0,
1771942500000000000,0,0,
1771942560000000000,0,0,
1771942620000000000,0,0,
1771942680000000000,0,0,
1771942740000000000,0,0,
1771942800000000000,0,0,
1771942860000000000,0,0,
1771942920000000000,0,0,
1771942980000000000,0,0,
1771943040000000000,0,0,
1771943100000000000,0,0,
1771943160000000000,0,0,
1771943220000000000,0,0,
1771943280000000000,0,0,
1771943340000000000,0,0,
1771943400000000000,0,0,
1771943460000000000,5312,527115169,24807.75456513554216867469880
1771943520000000000,9974,989254991,24795.84396932023260477240826
1771943580000000000,12968,1285906999,24790.00229410857495373226403
1771943640000000000,16505,1635928122,24779.28085428657982429566798
1771943700000000000,20115,1992971032,24769.71205567984091474024360
1771943760000000000,23447,2322625197,24764.63083763381242802917218
1771943820000000000,27122,2685957363,24758.10562458520758056190546
1771943880000000000,30080,2978328384,24753.39414893617021276595745
1771943940000000000,34635,3429563365,24755.04089071748231557672874
1771944000000000000,37892,3752731995,24759.39508999261057743059221
1771944060000000000,42062,4166831440,24766.00874898958680043744948
1771944120000000000,45512,4509846104,24772.84070135348918966426437
1771944180000000000,48063,4763516505,24777.46137881530491230260283
1771944240000000000,50131,4969191361,24781.03050507669904849294847
1771944300000000000,53329,5287587089,24787.57847043822310562733222
1771944360000000000,56792,5632715376,24795.37336244541484716157205
1771944420000000000,60412,5993614979,24803.08125455207574654042243
1771944480000000000,63428,6294433645,24809.36512660023964179857476
1771944540000000000,68521,6802715894,24819.82127377008508340508749
1771944600000000000,70922,7042270641,24823.99904472519105496178901
1771944660000000000,73722,7321480897,24828.00553769566750766392664
1771944720000000000,76320,7580486075,24831.25679703878406708595388
1771944780000000000,78108,7758779801,24833.49913261125620935115481
1771944840000000000,80213,7968596247,24835.73811913280889631356513
1771944900000000000,82370,8183559862,24837.80460725992472987738254
1771944960000000000,85178,8463154086,24839.61259362746249031440043
