         755717211 function calls (686172413 primitive calls) in 384.441 seconds

   Ordered by: cumulative time
   List reduced from 1640 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  3770638    3.822    0.000    4.135    0.000 event_time.py:104(<genexpr>)
  2487564    3.735    0.000   10.560    0.000 adapters.py:153(timestamp_ns)
     2572    3.589    0.001    3.658    0.001 {built-in method _io.open}
  1817954    3.543    0.000    3.543    0.000 event_time.py:101(<genexpr>)
  8859204    3.122    0.000    4.033    0.000 {built-in method builtins.max}
        2    2.955    1.478    3.130    1.565 strategy_options.py:41(option_rows)
       76    2.887    0.038    2.887    0.038 core.py:1525(read)
 21435253    2.339    0.000    2.339    0.000 {built-in method builtins.id}
4436309/4436291    2.104    0.000    8.795    0.000 {built-in method builtins.any}
  2440863    2.076    0.000    2.922    0.000 adapters.py:126(native_timestamp_unit)
 20437504    2.025    0.000    2.025    0.000 {built-in method builtins.hasattr}
  5361758    2.004    0.000    2.655    0.000 adapters.py:74(_text)
      324    1.800    0.006    1.803    0.006 macro_backfill.py:322(releases_for_decision)
   536340    1.757    0.000    9.608    0.000 session_policy.py:92(state)
  1952684    1.725    0.000   40.425    0.000 event_time.py:87(add)
     2683    1.712    0.001    1.712    0.001 {method '__exit__' of '_io._IOBase' objects}
   536444    1.622    0.000    2.003    0.000 session_policy.py:55(day)


