# P15-17 MID profile 2026-06-01
# wall_seconds=127.011 load_seconds=117.357 candidates=160 supported=148 tape_batches=324878
         107275480 function calls (103046902 primitive calls) in 125.129 seconds

   Ordered by: cumulative time
   List reduced from 3623 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.003    0.003  127.005  127.005 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/search_run.py:755(evaluate_session)
        1    0.004    0.004  117.306  117.306 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/search.py:345(load_b02_market)
        1    0.000    0.000   92.295   92.295 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/search.py:946(warm_session)
       30    0.000    0.000   92.295    3.076 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/search.py:969(run)
       26    0.000    0.000   89.590    3.446 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/search.py:993(<lambda>)
       26    0.000    0.000   89.590    3.446 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/search.py:1497(scan_b02_baseline)
        1    0.000    0.000   50.464   50.464 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/source_adapters/keani.py:494(scan_b02)
        1    0.000    0.000   50.464   50.464 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/source_adapters/keani.py:499(_scan_b02_impl)
        1    0.030    0.030   50.397   50.397 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/source_adapters/keani.py:313(scan_keani_branch_b02)
      375    6.341    0.017   38.492    0.103 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/method_pack/historical_features.py:142(profile)
        7    0.232    0.033   33.056    4.722 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/method_pack/event_cache.py:59(cached_window)
      374    2.553    0.007   28.565    0.076 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/method_pack/empirical_tape.py:345(_profile_payload)
        7    0.024    0.003   23.650    3.379 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/method_pack/event_time.py:49(identify_sources)
        1    0.000    0.000   23.335   23.335 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/source_adapters/common.py:208(load_source_market)
        1    0.000    0.000   23.098   23.098 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/method_pack/historical_features.py:95(__init__)
   443041    0.257    0.000   22.922    0.000 /usr/lib/python3.12/dataclasses.py:1301(asdict)
      485    0.026    0.000   22.728    0.047 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/method_pack/native_resolution.py:32(file_digest)
4437795/443041    7.578    0.000   22.439    0.000 /usr/lib/python3.12/dataclasses.py:1325(_asdict_inner)
      978    0.008    0.000   21.248    0.022 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/method_pack/strategy_measurements.py:135(coverage)
       22    0.000    0.000   17.369    0.789 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/source_adapters/green_b02.py:2465(scan_b02)
       22    0.000    0.000   17.368    0.789 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/source_adapters/green_b02.py:2470(_scan_b02_impl)
        5    0.000    0.000   16.878    3.376 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/source_adapters/green_vwap_scalp.py:186(scan_b02)
        5    0.004    0.001   16.774    3.355 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/source_adapters/green_b02.py:2158(_scan_vwap)
      524    0.005    0.000   16.708    0.032 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/method_pack/historical_features.py:162(vwap)
      187    0.105    0.001   16.703    0.089 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/method_pack/event_time.py:335(vwap)
        2    0.000    0.000   15.967    7.984 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/source_adapters/refill_b02.py:399(scan_b02)
        2    0.038    0.019   15.967    7.983 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/source_adapters/refill_b02.py:404(_scan_b02_impl)
       43    0.001    0.000   13.806    0.321 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/method_pack/historical_features.py:166(prior)
      978    1.658    0.002   13.445    0.014 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/method_pack/event_time.py:292(coverage)
78487/78362   12.593    0.000   12.601    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000   11.636   11.636 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/source_adapters/keani.py:285(_weekly_high)
    14829    0.011    0.000   11.198    0.001 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/method_pack/native_resolution.py:35(<lambda>)
      414    0.897    0.002   10.882    0.026 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/method_pack/event_cache.py:35(contract_at)
       32   10.762    0.336   10.762    0.336 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/source_adapters/refill_b02.py:71(touches_after_departure)
    14369   10.133    0.001   10.133    0.001 {method 'update' of '_hashlib.HASH' objects}
   417344    0.276    0.000    9.820    0.000 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/method_pack/event_time.py:137(interval_state)
   418724    1.783    0.000    9.566    0.000 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/method_pack/session_policy.py:92(state)
   444664    0.309    0.000    9.064    0.000 {built-in method builtins.any}
      160    0.005    0.000    8.932    0.056 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/search_run.py:897(_evaluate_candidate)
      154    0.001    0.000    8.775    0.057 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/search.py:1443(scan_candidate)


