# P15-17 AFTER profile 2026-06-01
# wall_seconds=168.718 load_seconds=159.878 candidates=160 supported=148 tape_batches=324878
         102325664 function calls (98096914 primitive calls) in 165.868 seconds

   Ordered by: cumulative time
   List reduced from 3656 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.016    0.016  168.711  168.711 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/search_run.py:755(evaluate_session)
        1    0.005    0.005  159.821  159.821 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/search.py:342(load_b02_market)
        1    0.000    0.000  126.419  126.419 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/search.py:943(warm_session)
       30    0.000    0.000  126.418    4.214 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/search.py:966(run)
       26    0.000    0.000  121.103    4.658 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/search.py:990(<lambda>)
       26    0.000    0.000  121.103    4.658 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/search.py:1461(scan_b02_baseline)
        1    0.000    0.000   81.292   81.292 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/source_adapters/keani.py:494(scan_b02)
        1    0.000    0.000   81.292   81.292 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/source_adapters/keani.py:499(_scan_b02_impl)
        1    0.065    0.065   81.184   81.184 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/source_adapters/keani.py:313(scan_keani_branch_b02)
      375    9.179    0.024   56.004    0.149 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/method_pack/historical_features.py:142(profile)
        7    0.464    0.066   50.622    7.232 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/method_pack/event_cache.py:59(cached_window)
      374    3.767    0.010   41.297    0.110 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/method_pack/empirical_tape.py:345(_profile_payload)
        7    0.026    0.004   41.151    5.879 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/method_pack/event_time.py:49(identify_sources)
      485    0.075    0.000   36.380    0.075 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/method_pack/native_resolution.py:32(file_digest)
   443041    0.343    0.000   32.659    0.000 /usr/lib/python3.12/dataclasses.py:1301(asdict)
4437795/443041   10.227    0.000   31.989    0.000 /usr/lib/python3.12/dataclasses.py:1325(_asdict_inner)
       43    0.001    0.000   29.085    0.676 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/method_pack/historical_features.py:166(prior)
      978    0.010    0.000   28.068    0.029 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/method_pack/strategy_measurements.py:135(coverage)
        1    0.000    0.000   27.178   27.178 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/source_adapters/common.py:208(load_source_market)
        1    0.000    0.000   26.866   26.866 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/method_pack/historical_features.py:95(__init__)
        1    0.000    0.000   24.625   24.625 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/source_adapters/keani.py:285(_weekly_high)
       22    0.000    0.000   22.160    1.007 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/source_adapters/green_b02.py:2465(scan_b02)
       22    0.001    0.000   22.158    1.007 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/source_adapters/green_b02.py:2470(_scan_b02_impl)
        5    0.000    0.000   21.531    4.306 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/source_adapters/green_vwap_scalp.py:186(scan_b02)
78491/78366   21.477    0.000   21.502    0.000 {method 'read' of '_io.BufferedReader' objects}
        5    0.004    0.001   21.413    4.283 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/source_adapters/green_b02.py:2158(_scan_vwap)
      524    0.005    0.000   21.293    0.041 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/method_pack/historical_features.py:162(vwap)
      187    0.108    0.001   21.287    0.114 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/method_pack/event_time.py:335(vwap)
    14829    0.032    0.000   19.831    0.001 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/method_pack/native_resolution.py:35(<lambda>)
      978    2.357    0.002   18.737    0.019 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/method_pack/event_time.py:292(coverage)
