# P15-17 AFTER profile 2026-06-01
# wall_seconds=168.718 load_seconds=159.878 candidates=160 supported=148 tape_batches=324878
         102325664 function calls (98096914 primitive calls) in 165.868 seconds

   Ordered by: cumulative time
   List reduced from 3656 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    14369   15.007    0.001   15.007    0.001 {method 'update' of '_hashlib.HASH' objects}
      414    1.309    0.003   13.639    0.033 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/method_pack/event_cache.py:35(contract_at)
   417344    0.504    0.000   13.621    0.000 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/method_pack/event_time.py:137(interval_state)
      436    0.014    0.000   13.381    0.031 /workspace/implementation/.venv/lib/python3.12/site-packages/pyarrow/parquet/core.py:1884(read_table)
   418724    2.444    0.000   13.139    0.000 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/method_pack/session_policy.py:92(state)
  3984552    7.738    0.000   12.501    0.000 /usr/lib/python3.12/copy.py:118(deepcopy)
   444664    0.455    0.000   11.101    0.000 {built-in method builtins.any}
        2    0.000    0.000    9.694    4.847 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/source_adapters/refill_b02.py:399(scan_b02)
        2    0.051    0.025    9.694    4.847 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/rule_discovery/source_adapters/refill_b02.py:404(_scan_b02_impl)
      618    0.017    0.000    9.318    0.015 /workspace/.worktrees/p15-17-fast/implementation/src/trading_research/research/method_pack/strategy_measurements.py:144(<genexpr>)


