session=2024-03-05 wall_seconds=1.282195 warm=1
         97084 function calls (96926 primitive calls) in 1.270 seconds

   Ordered by: cumulative time
   List reduced from 389 to 20 due to restriction <20>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.004    0.004    1.270    1.270 /workspace/.worktrees/stage-a-r3/implementation/src/trading_research/research/rule_discovery/engine_slice.py:99(run_candidate_branch_session)
        1    0.001    0.001    1.137    1.137 /workspace/.worktrees/stage-a-r3/implementation/src/trading_research/research/rule_discovery/native.py:1212(build_market_view)
        1    0.003    0.003    1.042    1.042 /workspace/.worktrees/stage-a-r3/implementation/src/trading_research/research/rule_discovery/native.py:926(load_session_arrays)
        1    0.016    0.016    0.807    0.807 /workspace/.worktrees/stage-a-r3/implementation/src/trading_research/research/rule_discovery/native.py:390(load_span_arrow)
      120    0.341    0.003    0.341    0.003 /workspace/implementation/.venv/lib/python3.12/site-packages/pyarrow/compute.py:348(cast)
       27    0.316    0.012    0.316    0.012 /workspace/implementation/.venv/lib/python3.12/site-packages/pyarrow/parquet/core.py:439(read_row_group)
      282    0.212    0.001    0.212    0.001 /workspace/implementation/.venv/lib/python3.12/site-packages/pyarrow/compute.py:246(wrapper)
        1    0.009    0.009    0.201    0.201 /workspace/.worktrees/stage-a-r3/implementation/src/trading_research/research/rule_discovery/native.py:241(decode_arrow_table)
        3    0.009    0.003    0.139    0.046 /workspace/.worktrees/stage-a-r3/implementation/src/trading_research/research/rule_discovery/native.py:218(_ticks_from_decimal_column)
       24    0.000    0.000    0.118    0.005 /workspace/.worktrees/stage-a-r3/implementation/src/trading_research/research/rule_discovery/engine_slice.py:53(_time)
        2    0.000    0.000    0.099    0.049 /workspace/.worktrees/stage-a-r3/implementation/src/trading_research/research/rule_discovery/engine_slice.py:170(<lambda>)
        2    0.045    0.022    0.099    0.049 /workspace/.worktrees/stage-a-r3/implementation/src/trading_research/research/rule_discovery/profiles.py:462(build_profile)
        1    0.000    0.000    0.094    0.094 /workspace/.worktrees/stage-a-r3/implementation/src/trading_research/research/rule_discovery/native.py:977(__init__)
       54    0.061    0.001    0.061    0.001 /workspace/implementation/.venv/lib/python3.12/site-packages/pyarrow/compute.py:256(wrapper)
        1    0.023    0.023    0.047    0.047 /workspace/.worktrees/stage-a-r3/implementation/src/trading_research/research/rule_discovery/native.py:488(build_prefix_sums)
        2    0.000    0.000    0.038    0.019 /workspace/.worktrees/stage-a-r3/implementation/src/trading_research/research/rule_discovery/profiles.py:121(python_profile)
        1    0.014    0.014    0.037    0.037 /workspace/.worktrees/stage-a-r3/implementation/src/trading_research/research/rule_discovery/native.py:813(build_minute_tables)
        2    0.032    0.016    0.036    0.018 /workspace/.worktrees/stage-a-r3/implementation/src/trading_research/research/rule_discovery/profiles.py:75(python_bincount)
        2    0.009    0.004    0.034    0.017 /workspace/.worktrees/stage-a-r3/implementation/src/trading_research/research/rule_discovery/native.py:230(_map_dictionary)
      340    0.000    0.000    0.024    0.000 /workspace/implementation/.venv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:51(_wrapfunc)


