metric,value,n,low_support,artifact
n,1486,1486,false,/workspace/implementation/reports/phase1-live/historical-measurement/run-1.0.1/records/setup-records.jsonl.gz
net_mean,-2.471207865168539,1068,false,setup-records
result_stop_first,432,432,false,first_passage
result_neither,406,406,false,first_passage
result_target_first,636,636,false,first_passage
result_missing_future,12,12,true,first_passage
