abs_gamma_sum,available_at_ns,board_n_live,control.high.s,control.high.ticks,control.high.within_16,control.high.within_4,control.high.within_8,control.low.s,control.low.ticks,control.low.within_16,control.low.within_4,control.low.within_8,control.offset_s,control_high_headline_within_8,control_high_unrestricted_within_8,day,degenerate_board_label,expiry_bucket,extremes_sha256,high.dt_after_available_ns,high.extreme_time_ns,high.s,high.ticks,high.within_16,high.within_4,high.within_8,high_after_available,high_headline_within_16,high_headline_within_4,high_headline_within_8,high_session_bucket,high_time_ns,high_unrestricted_within_16,high_unrestricted_within_4,high_unrestricted_within_8,implied_move,kind,level_id,low.dt_after_available_ns,low.extreme_time_ns,low.s,low.ticks,low.within_16,low.within_4,low.within_8,low_after_available,low_headline_within_16,low_headline_within_4,low_headline_within_8,low_session_bucket,low_time_ns,low_unrestricted_within_16,low_unrestricted_within_4,low_unrestricted_within_8,map_status,mapped_nq,oi_sum,rank,ratio,root,rth_high,rth_high.s,rth_high.ticks,rth_high.within_16,rth_high.within_4,rth_high.within_8,rth_low,rth_low.s,rth_low.ticks,rth_low.within_16,rth_low.within_4,rth_low.within_8,s_prior_rth_range,scenario_label,signed_gamma,spot,strike,vol_regime,year
460992486.5311103,1577977200000000000,183,,,,,,,,,,,,,,2020-01-02,,1-7,17ebce163a560e730e429db795105a823f86593a85ca40de95f4dffa60a26cf4,,,,,,,,,,,,other,1578002396001326009,,,,1.6657063091431914,top_vanna,QQQ:2020-01-02:top_vanna:3:216.5,,,,,,,,,,,,overnight_or_pre,1577919720795516447,,,,ok,8909.536508236182,271621,3,41.152593571529714,QQQ,,,,,,,,,,,,,,baseline_proxy_not_known_inventory,,215.07,216.5,low,2020
460992486.5311103,1577977200000000000,183,,,,,,,,,,,,,,2020-01-02,,1-7,17ebce163a560e730e429db795105a823f86593a85ca40de95f4dffa60a26cf4,,,,,,,,,,,,other,1578002396001326009,,,,1.6657063091431914,top_vega,QQQ:2020-01-02:top_vega:1:217.5,,,,,,,,,,,,overnight_or_pre,1577919720795516447,,,,ok,8950.689101807713,271621,1,41.152593571529714,QQQ,,,,,,,,,,,,,,baseline_proxy_not_known_inventory,,215.07,217.5,low,2020
460992486.5311103,1577977200000000000,183,,,,,,,,,,,,,,2020-01-02,,1-7,17ebce163a560e730e429db795105a823f86593a85ca40de95f4dffa60a26cf4,,,,,,,,,,,,other,1578002396001326009,,,,1.6657063091431914,top_vega,QQQ:2020-01-02:top_vega:2:219.0,,,,,,,,,,,,overnight_or_pre,1577919720795516447,,,,ok,9012.417992165007,271621,2,41.152593571529714,QQQ,,,,,,,,,,,,,,baseline_proxy_not_known_inventory,,215.07,219.0,low,2020
460992486.5311103,1577977200000000000,183,,,,,,,,,,,,,,2020-01-02,,1-7,17ebce163a560e730e429db795105a823f86593a85ca40de95f4dffa60a26cf4,,,,,,,,,,,,other,1578002396001326009,,,,1.6657063091431914,top_vega,QQQ:2020-01-02:top_vega:3:212.0,,,,,,,,,,,,overnight_or_pre,1577919720795516447,,,,ok,8724.3498371643,271621,3,41.152593571529714,QQQ,,,,,,,,,,,,,,baseline_proxy_not_known_inventory,,215.07,212.0,low,2020
844252780.8683331,1578063600000000000,334,1.2140374060494297,423.69905471125094,False,False,False,3.1853841109204897,1111.699054711251,False,False,False,1.0,,False,2020-01-03,,0DTE,17ebce163a560e730e429db795105a823f86593a85ca40de95f4dffa60a26cf4,-56763640797735,1578006836359202265,0.2140374060494296,74.69905471125094,False,False,False,False,,,,overnight_or_pre,1578006836359202265,False,False,False,1.2510025634733128,key_gamma,QQQ:2020-01-03:key_gamma:1:217.0,-14526944193595,1578049073055806405,2.1853841109204897,762.6990547112509,False,False,False,False,,,,overnight_or_pre,1578049073055806405,False,False,False,ok,8925.924763677813,507881,1,41.133293841833236,QQQ,,0.7355273773961345,256.69905471125094,False,False,False,,1.7813726496024382,621.6990547112509,False,False,False,87.25,baseline_proxy_not_known_inventory,89193222.34415928,214.58,217.0,low,2020
844252780.8683331,1578063600000000000,334,1.7859625939505703,623.3009452887491,False,False,False,0.1853841109204898,64.69905471125094,False,False,False,-2.0,,False,2020-01-03,,0DTE,17ebce163a560e730e429db795105a823f86593a85ca40de95f4dffa60a26cf4,-56763640797735,1578006836359202265,0.2140374060494296,74.69905471125094,False,False,False,False,,,,overnight_or_pre,1578006836359202265,False,False,False,1.2510025634733128,call_wall,QQQ:2020-01-03:call_wall:1:217.0,-14526944193595,1578049073055806405,2.1853841109204897,762.6990547112509,False,False,False,False,,,,overnight_or_pre,1578049073055806405,False,False,False,ok,8925.924763677813,507881,1,41.133293841833236,QQQ,,0.7355273773961345,256.69905471125094,False,False,False,,1.7813726496024382,621.6990547112509,False,False,False,87.25,baseline_proxy_not_known_inventory,89193222.34415928,214.58,217.0,low,2020
844252780.8683331,1578063600000000000,334,0.20028788364111422,69.90047139074886,False,False,False,1.7710588212299458,618.0995286092511,False,False,False,1.0,,False,2020-01-03,,0DTE,17ebce163a560e730e429db795105a823f86593a85ca40de95f4dffa60a26cf4,-56763640797735,1578006836359202265,1.2002878836411142,418.90047139074886,False,False,False,False,,,,overnight_or_pre,1578006836359202265,False,False,False,1.2510025634733128,put_wall,QQQ:2020-01-03:put_wall:1:214.0,-14526944193595,1578049073055806405,0.771058821229946,269.09952860925114,False,False,False,False,,,,overnight_or_pre,1578049073055806405,False,False,False,ok,8802.524882152313,507881,1,41.133293841833236,QQQ,,0.6787979122944093,236.90047139074886,False,False,False,,0.36704735991189436,128.09952860925114,False,False,False,87.25,baseline_proxy_not_known_inventory,-77648163.01112066,214.58,214.0,low,2020
844252780.8683331,1578063600000000000,334,16.400657254086163,5723.829381676071,False,False,False,14.429310549215103,5035.829381676071,False,False,False,-2.0,,False,2020-01-03,,0DTE,17ebce163a560e730e429db795105a823f86593a85ca40de95f4dffa60a26cf4,-56763640797735,1578006836359202265,14.400657254086163,5025.829381676071,False,False,False,False,,,,overnight_or_pre,1578006836359202265,False,False,False,1.2510025634733128,gamma_flip,QQQ:2020-01-03:gamma_flip:1:186.0,-14526944193595,1578049073055806405,12.429310549215103,4337.829381676071,False,False,False,False,,,,overnight_or_pre,1578049073055806405,False,False,False,ok,7650.792654580982,507881,1,41.133293841833236,QQQ,,13.879167282739457,4843.829381676071,False,False,False,,12.833322010533154,4478.829381676071,False,False,False,87.25,baseline_proxy_not_known_inventory,,214.58,186.0,low,2020
844252780.8683331,1578063600000000000,334,1.5574966997920277,543.5663482274176,False,False,False,0.4138500050790326,144.43365177258238,False,False,False,2.0,,False,2020-01-03,,0DTE,17ebce163a560e730e429db795105a823f86593a85ca40de95f4dffa60a26cf4,-56763640797735,1578006836359202265,3.5574966997920274,1241.5663482274176,False,False,False,False,,,,overnight_or_pre,1578006836359202265,False,False,False,1.2510025634733128,max_pain,QQQ:2020-01-03:max_pain:1:209.0,-14526944193595,1578049073055806405,1.5861499949209674,553.5663482274176,False,False,False,False,,,,overnight_or_pre,1578049073055806405,False,False,False,ok,8596.858412943146,507881,1,41.133293841833236,QQQ,,3.0360067284453227,1059.5663482274176,False,False,False,,1.990161456239019,694.5663482274176,False,False,False,87.25,baseline_proxy_not_known_inventory,,214.58,209.0,low,2020
844252780.8683331,1578063600000000000,334,0.7859625939505703,274.30094528874906,False,False,False,1.18538411092049,413.69905471125094,False,False,False,-1.0,,False,2020-01-03,,0DTE,17ebce163a560e730e429db795105a823f86593a85ca40de95f4dffa60a26cf4,-56763640797735,1578006836359202265,0.2140374060494296,74.69905471125094,False,False,False,False,,,,overnight_or_pre,1578006836359202265,False,False,False,1.2510025634733128,top_gamma,QQQ:2020-01-03:top_gamma:1:217.0,-14526944193595,1578049073055806405,2.1853841109204897,762.6990547112509,False,False,False,False,,,,overnight_or_pre,1578049073055806405,False,False,False,ok,8925.924763677813,507881,1,41.133293841833236,QQQ,,0.7355273773961345,256.69905471125094,False,False,False,,1.7813726496024382,621.6990547112509,False,False,False,87.25,baseline_proxy_not_known_inventory,,214.58,217.0,low,2020
844252780.8683331,1578063600000000000,334,0.7997121163588857,279.09952860925114,False,False,False,2.771058821229946,967.0995286092511,False,False,False,2.0,,False,2020-01-03,,0DTE,17ebce163a560e730e429db795105a823f86593a85ca40de95f4dffa60a26cf4,-56763640797735,1578006836359202265,1.2002878836411142,418.90047139074886,False,False,False,False,,,,overnight_or_pre,1578006836359202265,False,False,False,1.2510025634733128,top_gamma,QQQ:2020-01-03:top_gamma:2:214.0,-14526944193595,1578049073055806405,0.771058821229946,269.09952860925114,False,False,False,False,,,,overnight_or_pre,1578049073055806405,False,False,False,ok,8802.524882152313,507881,2,41.133293841833236,QQQ,,0.6787979122944093,236.90047139074886,False,False,False,,0.36704735991189436,128.09952860925114,False,False,False,87.25,baseline_proxy_not_known_inventory,,214.58,214.0,low,2020
844252780.8683331,1578063600000000000,334,0.2711538795890601,94.63270397658198,False,False,False,2.2425005844601205,782.632703976582,False,False,False,1.0,,False,2020-01-03,,0DTE,17ebce163a560e730e429db795105a823f86593a85ca40de95f4dffa60a26cf4,-56763640797735,1578006836359202265,0.7288461204109399,254.36729602341802,False,False,False,False,,,,overnight_or_pre,1578006836359202265,False,False,False,1.2510025634733128,top_gamma,QQQ:2020-01-03:top_gamma:3:215.0,-14526944193595,1578049073055806405,1.2425005844601202,433.632703976582,False,False,False,False,,,,overnight_or_pre,1578049073055806405,False,False,False,ok,8843.658175994145,507881,3,41.133293841833236,QQQ,,0.20735614906423502,72.36729602341802,False,False,False,,0.8384891231420687,292.632703976582,False,False,False,87.25,baseline_proxy_not_known_inventory,,214.58,215.0,low,2020
844252780.8683331,1578063600000000000,334,6.264659344637299,2186.3661112784175,False,False,False,4.293312639766239,1498.3661112784175,False,False,False,-2.0,,False,2020-01-03,,0DTE,17ebce163a560e730e429db795105a823f86593a85ca40de95f4dffa60a26cf4,-56763640797735,1578006836359202265,4.264659344637299,1488.3661112784175,False,False,False,False,,,,overnight_or_pre,1578006836359202265,False,False,False,1.2510025634733128,top_vanna,QQQ:2020-01-03:top_vanna:1:207.5,-14526944193595,1578049073055806405,2.2933126397662393,800.3661112784175,False,False,False,False,,,,overnight_or_pre,1578049073055806405,False,False,False,ok,8535.158472180396,507881,1,41.133293841833236,QQQ,,3.7431693732905944,1306.3661112784175,False,False,False,,2.6973241010842908,941.3661112784175,False,False,False,87.25,baseline_proxy_not_known_inventory,,214.58,207.5,low,2020
844252780.8683331,1578063600000000000,334,0.1359164226449498,47.43483150308748,False,False,False,1.8354302822261104,640.5651684969125,False,False,False,-2.0,,False,2020-01-03,,0DTE,17ebce163a560e730e429db795105a823f86593a85ca40de95f4dffa60a26cf4,-56763640797735,1578006836359202265,1.8640835773550501,650.5651684969125,False,False,False,False,,,,overnight_or_pre,1578006836359202265,False,False,False,1.2510025634733128,top_vanna,QQQ:2020-01-03:top_vanna:2:220.5,-14526944193595,1578049073055806405,3.83543028222611,1338.5651684969125,False,False,False,False,,,,overnight_or_pre,1578049073055806405,False,False,False,ok,9069.891292124228,507881,2,41.133293841833236,QQQ,,2.385573548701755,832.5651684969125,False,False,False,,3.4314188209080587,1197.5651684969125,False,False,False,87.25,baseline_proxy_not_known_inventory,,214.58,220.5,low,2020
844252780.8683331,1578063600000000000,334,1.7859625939505703,623.3009452887491,False,False,False,0.1853841109204898,64.69905471125094,False,False,False,-2.0,,False,2020-01-03,,0DTE,17ebce163a560e730e429db795105a823f86593a85ca40de95f4dffa60a26cf4,-56763640797735,1578006836359202265,0.2140374060494296,74.69905471125094,False,False,False,False,,,,overnight_or_pre,1578006836359202265,False,False,False,1.2510025634733128,top_vanna,QQQ:2020-01-03:top_vanna:3:217.0,-14526944193595,1578049073055806405,2.1853841109204897,762.6990547112509,False,False,False,False,,,,overnight_or_pre,1578049073055806405,False,False,False,ok,8925.924763677813,507881,3,41.133293841833236,QQQ,,0.7355273773961345,256.69905471125094,False,False,False,,1.7813726496024382,621.6990547112509,False,False,False,87.25,baseline_proxy_not_known_inventory,,214.58,217.0,low,2020
844252780.8683331,1578063600000000000,334,4.557496699792027,1590.5663482274176,False,False,False,2.586149994920967,902.5663482274176,False,False,False,-1.0,,False,2020-01-03,,0DTE,17ebce163a560e730e429db795105a823f86593a85ca40de95f4dffa60a26cf4,-56763640797735,1578006836359202265,3.5574966997920274,1241.5663482274176,False,False,False,False,,,,overnight_or_pre,1578006836359202265,False,False,False,1.2510025634733128,top_vega,QQQ:2020-01-03:top_vega:1:209.0,-14526944193595,1578049073055806405,1.5861499949209674,553.5663482274176,False,False,False,False,,,,overnight_or_pre,1578049073055806405,False,False,False,ok,8596.858412943146,507881,1,41.133293841833236,QQQ,,3.0360067284453227,1059.5663482274176,False,False,False,,1.990161456239019,694.5663482274176,False,False,False,87.25,baseline_proxy_not_known_inventory,,214.58,209.0,low,2020
844252780.8683331,1578063600000000000,334,2.2646593446372996,790.3661112784175,False,False,False,0.29331263976623934,102.36611127841752,False,False,False,2.0,,False,2020-01-03,,0DTE,17ebce163a560e730e429db795105a823f86593a85ca40de95f4dffa60a26cf4,-56763640797735,1578006836359202265,4.264659344637299,1488.3661112784175,False,False,False,False,,,,overnight_or_pre,1578006836359202265,False,False,False,1.2510025634733128,top_vega,QQQ:2020-01-03:top_vega:2:207.5,-14526944193595,1578049073055806405,2.2933126397662393,800.3661112784175,False,False,False,False,,,,overnight_or_pre,1578049073055806405,False,False,False,ok,8535.158472180396,507881,2,41.133293841833236,QQQ,,3.7431693732905944,1306.3661112784175,False,False,False,,2.6973241010842908,941.3661112784175,False,False,False,87.25,baseline_proxy_not_known_inventory,,214.58,207.5,low,2020
844252780.8683331,1578063600000000000,334,0.7859625939505703,274.30094528874906,False,False,False,1.18538411092049,413.69905471125094,False,False,False,-1.0,,False,2020-01-03,,0DTE,17ebce163a560e730e429db795105a823f86593a85ca40de95f4dffa60a26cf4,-56763640797735,1578006836359202265,0.2140374060494296,74.69905471125094,False,False,False,False,,,,overnight_or_pre,1578006836359202265,False,False,False,1.2510025634733128,top_vega,QQQ:2020-01-03:top_vega:3:217.0,-14526944193595,1578049073055806405,2.1853841109204897,762.6990547112509,False,False,False,False,,,,overnight_or_pre,1578049073055806405,False,False,False,ok,8925.924763677813,507881,3,41.133293841833236,QQQ,,0.7355273773961345,256.69905471125094,False,False,False,,1.7813726496024382,621.6990547112509,False,False,False,87.25,baseline_proxy_not_known_inventory,,214.58,217.0,low,2020
298991452.863574,1578322800000000000,266,3.0676134022641475,1119.6788918264137,False,False,False,1.4237777858257912,519.6788918264137,False,False,False,2.0,False,False,2020-01-06,,1-7,17ebce163a560e730e429db795105a823f86593a85ca40de95f4dffa60a26cf4,21719207118757,1578344519207118757,5.067613402264147,1849.6788918264137,False,False,False,True,False,False,False,other,1578344519207118757,False,False,False,3.8329745746263675,key_gamma,QQQ:2020-01-06:key_gamma:1:204.5,-19673477278031,1578303126522721969,3.423777785825791,1249.6788918264137,False,False,False,False,,,,overnight_or_pre,1578303126522721969,False,False,False,ok,8410.580277043397,321844,1,41.12753191708262,QQQ,,4.993640799524421,1822.6788918264137,False,False,False,,3.4895312104833254,1273.6788918264137,False,False,False,91.25,baseline_proxy_not_known_inventory,59945576.99844004,213.9,204.5,high,2020
298991452.863574,1578322800000000000,266,3.0676134022641475,1119.6788918264137,False,False,False,1.4237777858257912,519.6788918264137,False,False,False,2.0,False,False,2020-01-06,,1-7,17ebce163a560e730e429db795105a823f86593a85ca40de95f4dffa60a26cf4,21719207118757,1578344519207118757,5.067613402264147,1849.6788918264137,False,False,False,True,False,False,False,other,1578344519207118757,False,False,False,3.8329745746263675,call_wall,QQQ:2020-01-06:call_wall:1:204.5,-19673477278031,1578303126522721969,3.423777785825791,1249.6788918264137,False,False,False,False,,,,overnight_or_pre,1578303126522721969,False,False,False,ok,8410.580277043397,321844,1,41.12753191708262,QQQ,,4.993640799524421,1822.6788918264137,False,False,False,,3.4895312104833254,1273.6788918264137,False,False,False,91.25,baseline_proxy_not_known_inventory,59945576.99844004,213.9,204.5,high,2020
298991452.863574,1578322800000000000,266,0.6590612597437018,240.55735980645113,False,False,False,0.9847743566946544,359.44264019354887,False,False,False,-1.0,False,False,2020-01-06,,1-7,17ebce163a560e730e429db795105a823f86593a85ca40de95f4dffa60a26cf4,21719207118757,1578344519207118757,0.3409387402562983,124.44264019354887,False,False,False,True,False,False,False,other,1578344519207118757,False,False,False,3.8329745746263675,put_wall,QQQ:2020-01-06:put_wall:1:216.5,-19673477278031,1578303126522721969,1.9847743566946545,724.4426401935489,False,False,False,False,,,,overnight_or_pre,1578303126522721969,False,False,False,ok,8904.110660048387,321844,1,41.12753191708262,QQQ,,0.4149113429960243,151.44264019354887,False,False,False,,1.91902093203712,700.4426401935489,False,False,False,91.25,baseline_proxy_not_known_inventory,-33199660.605054542,213.9,216.5,high,2020
298991452.863574,1578322800000000000,266,12.532579651674952,4574.391572861357,False,False,False,10.888744035236595,3974.3915728613574,False,False,False,2.0,False,False,2020-01-06,,1-7,17ebce163a560e730e429db795105a823f86593a85ca40de95f4dffa60a26cf4,21719207118757,1578344519207118757,14.532579651674952,5304.391572861357,False,False,False,True,False,False,False,other,1578344519207118757,False,False,False,3.8329745746263675,gamma_flip,QQQ:2020-01-06:gamma_flip:1:183.5,-19673477278031,1578303126522721969,12.888744035236595,4704.391572861357,False,False,False,False,,,,overnight_or_pre,1578303126522721969,False,False,False,ok,7546.902106784661,321844,1,41.12753191708262,QQQ,,14.458607048935226,5277.391572861357,False,False,False,,12.95449745989413,4728.391572861357,False,False,False,91.25,baseline_proxy_not_known_inventory,,213.9,183.5,high,2020
298991452.863574,1578322800000000000,266,6.067613402264147,2214.6788918264137,False,False,False,4.423777785825791,1614.6788918264137,False,False,False,-1.0,False,False,2020-01-06,,1-7,17ebce163a560e730e429db795105a823f86593a85ca40de95f4dffa60a26cf4,21719207118757,1578344519207118757,5.067613402264147,1849.6788918264137,False,False,False,True,False,False,False,other,1578344519207118757,False,False,False,3.8329745746263675,max_pain,QQQ:2020-01-06:max_pain:1:204.5,-19673477278031,1578303126522721969,3.423777785825791,1249.6788918264137,False,False,False,False,,,,overnight_or_pre,1578303126522721969,False,False,False,ok,8410.580277043397,321844,1,41.12753191708262,QQQ,,4.993640799524421,1822.6788918264137,False,False,False,,3.4895312104833254,1273.6788918264137,False,False,False,91.25,baseline_proxy_not_known_inventory,,213.9,204.5,high,2020
