abs_gamma_sum,available_at_ns,board_n_live,control.high.s,control.high.ticks,control.high.within_16,control.high.within_4,control.high.within_8,control.low.s,control.low.ticks,control.low.within_16,control.low.within_4,control.low.within_8,control.offset_s,day,expiry_bucket,extremes_sha256,high.dt_after_available_ns,high.extreme_time_ns,high.s,high.ticks,high.within_16,high.within_4,high.within_8,high_after_available,high_session_bucket,high_time_ns,implied_move,kind,level_id,low.dt_after_available_ns,low.extreme_time_ns,low.s,low.ticks,low.within_16,low.within_4,low.within_8,low_after_available,low_session_bucket,low_time_ns,map_status,mapped_nq,oi_sum,rank,ratio,root,rth_high,rth_high.s,rth_high.ticks,rth_high.within_16,rth_high.within_4,rth_high.within_8,rth_low,rth_low.s,rth_low.ticks,rth_low.within_16,rth_low.within_4,rth_low.within_8,s_prior_rth_range,scenario_label,signed_gamma,spot,strike,vol_regime,year
4864823450.982771,1577977200000000000,615,,,,,,,,,,,,2020-01-02,1-7,17ebce163a560e730e429db795105a823f86593a85ca40de95f4dffa60a26cf4,,,,,,,,,other,1578002396001326009,1.9629984432526089,top_vega,SPY:2020-01-02:top_vega:1:320.0,,,,,,,,,overnight_or_pre,1577919720795516447,ok,8702.302894510864,2284672,1,27.194696545346446,SPY,,,,,,,,,,,,,,baseline_proxy_not_known_inventory,,323.87,320.0,low,2020
4864823450.982771,1577977200000000000,615,,,,,,,,,,,,2020-01-02,1-7,17ebce163a560e730e429db795105a823f86593a85ca40de95f4dffa60a26cf4,,,,,,,,,other,1578002396001326009,1.9629984432526089,top_vega,SPY:2020-01-02:top_vega:2:312.0,,,,,,,,,overnight_or_pre,1577919720795516447,ok,8484.745322148092,2284672,2,27.194696545346446,SPY,,,,,,,,,,,,,,baseline_proxy_not_known_inventory,,323.87,312.0,low,2020
4864823450.982771,1577977200000000000,615,,,,,,,,,,,,2020-01-02,1-7,17ebce163a560e730e429db795105a823f86593a85ca40de95f4dffa60a26cf4,,,,,,,,,other,1578002396001326009,1.9629984432526089,top_vega,SPY:2020-01-02:top_vega:3:328.0,,,,,,,,,overnight_or_pre,1577919720795516447,ok,8919.860466873633,2284672,3,27.194696545346446,SPY,,,,,,,,,,,,,,baseline_proxy_not_known_inventory,,323.87,328.0,low,2020
6021855826.757612,1578063600000000000,686,0.7747644050691463,270.3927773691321,False,False,False,2.7461111099402067,958.3927773691321,False,False,False,1.0,2020-01-03,0DTE,17ebce163a560e730e429db795105a823f86593a85ca40de95f4dffa60a26cf4,-56763640797735,1578006836359202265,0.2252355949308536,78.60722263086791,False,False,False,False,overnight_or_pre,1578006836359202265,1.612074408095301,key_gamma,SPY:2020-01-03:key_gamma:1:325.0,-14526944193595,1578049073055806405,1.7461111099402065,609.3927773691321,False,False,False,False,overnight_or_pre,1578049073055806405,ok,8887.598194342283,2787792,1,27.346455982591642,SPY,,0.2962543764158513,103.39277736913209,False,False,False,,1.342099648622155,468.3927773691321,False,False,False,87.25,baseline_proxy_not_known_inventory,-735847623.4308289,322.74,325.0,low,2020
6021855826.757612,1578063600000000000,686,2.08819083466905,728.7786012994984,False,False,False,4.05953753954011,1416.7786012994984,False,False,False,2.0,2020-01-03,0DTE,17ebce163a560e730e429db795105a823f86593a85ca40de95f4dffa60a26cf4,-56763640797735,1578006836359202265,0.08819083466904987,30.778601299498405,False,False,False,False,overnight_or_pre,1578006836359202265,1.612074408095301,call_wall,SPY:2020-01-03:call_wall:1:326.0,-14526944193595,1578049073055806405,2.05953753954011,718.7786012994984,False,False,False,False,overnight_or_pre,1578049073055806405,ok,8914.944650324875,2787792,1,27.346455982591642,SPY,,0.6096808060157547,212.7786012994984,False,False,False,,1.6555260782220584,577.7786012994984,False,False,False,87.25,baseline_proxy_not_known_inventory,276902769.37513626,322.74,326.0,low,2020
6021855826.757612,1578063600000000000,686,0.7747644050691463,270.3927773691321,False,False,False,2.7461111099402067,958.3927773691321,False,False,False,1.0,2020-01-03,0DTE,17ebce163a560e730e429db795105a823f86593a85ca40de95f4dffa60a26cf4,-56763640797735,1578006836359202265,0.2252355949308536,78.60722263086791,False,False,False,False,overnight_or_pre,1578006836359202265,1.612074408095301,put_wall,SPY:2020-01-03:put_wall:1:325.0,-14526944193595,1578049073055806405,1.7461111099402065,609.3927773691321,False,False,False,False,overnight_or_pre,1578049073055806405,ok,8887.598194342283,2787792,1,27.346455982591642,SPY,,0.2962543764158513,103.39277736913209,False,False,False,,1.342099648622155,468.3927773691321,False,False,False,87.25,baseline_proxy_not_known_inventory,-735847623.4308289,322.74,325.0,low,2020
6021855826.757612,1578063600000000000,686,20.030821370925093,6990.756658452858,False,False,False,18.059474666054033,6302.756658452858,False,False,False,-1.0,2020-01-03,0DTE,17ebce163a560e730e429db795105a823f86593a85ca40de95f4dffa60a26cf4,-56763640797735,1578006836359202265,19.030821370925093,6641.756658452858,False,False,False,False,overnight_or_pre,1578006836359202265,1.612074408095301,gamma_flip,SPY:2020-01-03:gamma_flip:1:265.0,-14526944193595,1578049073055806405,17.059474666054033,5953.756658452858,False,False,False,False,overnight_or_pre,1578049073055806405,ok,7246.810835386786,2787792,1,27.346455982591642,SPY,,18.50933139957839,6459.756658452858,False,False,False,,17.463486127372086,6094.756658452858,False,False,False,87.25,baseline_proxy_not_known_inventory,,322.74,265.0,low,2020
6021855826.757612,1578063600000000000,686,4.4937641869289235,1568.3237012381942,False,False,False,2.522417482057863,880.3237012381942,False,False,False,2.0,2020-01-03,0DTE,17ebce163a560e730e429db795105a823f86593a85ca40de95f4dffa60a26cf4,-56763640797735,1578006836359202265,6.4937641869289235,2266.323701238194,False,False,False,False,overnight_or_pre,1578006836359202265,1.612074408095301,max_pain,SPY:2020-01-03:max_pain:1:305.0,-14526944193595,1578049073055806405,4.522417482057863,1578.3237012381942,False,False,False,False,overnight_or_pre,1578049073055806405,ok,8340.669074690451,2787792,1,27.346455982591642,SPY,,5.972274215582218,2084.323701238194,False,False,False,,4.926428943375915,1719.3237012381942,False,False,False,87.25,baseline_proxy_not_known_inventory,,322.74,305.0,low,2020
6021855826.757612,1578063600000000000,686,1.7747644050691465,619.3927773691321,False,False,False,3.7461111099402067,1307.392777369132,False,False,False,2.0,2020-01-03,0DTE,17ebce163a560e730e429db795105a823f86593a85ca40de95f4dffa60a26cf4,-56763640797735,1578006836359202265,0.2252355949308536,78.60722263086791,False,False,False,False,overnight_or_pre,1578006836359202265,1.612074408095301,top_gamma,SPY:2020-01-03:top_gamma:1:325.0,-14526944193595,1578049073055806405,1.7461111099402065,609.3927773691321,False,False,False,False,overnight_or_pre,1578049073055806405,ok,8887.598194342283,2787792,1,27.346455982591642,SPY,,0.2962543764158513,103.39277736913209,False,False,False,,1.342099648622155,468.3927773691321,False,False,False,87.25,baseline_proxy_not_known_inventory,,322.74,325.0,low,2020
6021855826.757612,1578063600000000000,686,2.08819083466905,728.7786012994984,False,False,False,4.05953753954011,1416.7786012994984,False,False,False,2.0,2020-01-03,0DTE,17ebce163a560e730e429db795105a823f86593a85ca40de95f4dffa60a26cf4,-56763640797735,1578006836359202265,0.08819083466904987,30.778601299498405,False,False,False,False,overnight_or_pre,1578006836359202265,1.612074408095301,top_gamma,SPY:2020-01-03:top_gamma:2:326.0,-14526944193595,1578049073055806405,2.05953753954011,718.7786012994984,False,False,False,False,overnight_or_pre,1578049073055806405,ok,8914.944650324875,2787792,2,27.346455982591642,SPY,,0.6096808060157547,212.7786012994984,False,False,False,,1.6555260782220584,577.7786012994984,False,False,False,87.25,baseline_proxy_not_known_inventory,,322.74,326.0,low,2020
