abs_gamma_sum,available_at_ns,board_n_live,control.high.s,control.high.ticks,control.high.within_16,control.high.within_4,control.high.within_8,control.low.s,control.low.ticks,control.low.within_16,control.low.within_4,control.low.within_8,control.offset_s,day,expiry_bucket,extremes_sha256,high.dt_after_available_ns,high.extreme_time_ns,high.s,high.ticks,high.within_16,high.within_4,high.within_8,high_after_available,high_session_bucket,high_time_ns,implied_move,kind,level_id,low.dt_after_available_ns,low.extreme_time_ns,low.s,low.ticks,low.within_16,low.within_4,low.within_8,low_after_available,low_session_bucket,low_time_ns,map_status,mapped_nq,oi_sum,rank,ratio,root,rth_high.s,rth_high.ticks,rth_high.within_16,rth_high.within_4,rth_high.within_8,rth_low.s,rth_low.ticks,rth_low.within_16,rth_low.within_4,rth_low.within_8,s_prior_rth_range,scenario_label,signed_gamma,spot,strike,vol_regime,year
1462079.9530226234,1578322800000000000,1,5.375342465753425,1962.0,False,False,False,3.7315068493150685,1362.0,False,False,False,2.0,2020-01-06,31-90,17ebce163a560e730e429db795105a823f86593a85ca40de95f4dffa60a26cf4,21719207118757,1578344519207118757,7.375342465753425,2692.0,False,False,False,True,other,1578344519207118757,843.2931187094385,key_gamma,NQ:2020-01-06:key_gamma:1:8200.0,-19673477278031,1578303126522721969,5.7315068493150685,2092.0,False,False,False,False,overnight_or_pre,1578303126522721969,native,8200.0,271,1,1.0,NQ,7.301369863013699,2665.0,False,False,False,5.7972602739726025,2116.0,False,False,False,91.25,baseline_proxy_not_known_inventory,-1462079.9530226234,8797.5,8200.0,high,2020
1462079.9530226234,1578322800000000000,1,9.375342465753425,3422.0,False,False,False,7.7315068493150685,2822.0,False,False,False,-2.0,2020-01-06,31-90,17ebce163a560e730e429db795105a823f86593a85ca40de95f4dffa60a26cf4,21719207118757,1578344519207118757,7.375342465753425,2692.0,False,False,False,True,other,1578344519207118757,843.2931187094385,put_wall,NQ:2020-01-06:put_wall:1:8200.0,-19673477278031,1578303126522721969,5.7315068493150685,2092.0,False,False,False,False,overnight_or_pre,1578303126522721969,native,8200.0,271,1,1.0,NQ,7.301369863013699,2665.0,False,False,False,5.7972602739726025,2116.0,False,False,False,91.25,baseline_proxy_not_known_inventory,-1462079.9530226234,8797.5,8200.0,high,2020
1462079.9530226234,1578322800000000000,1,6.375342465753425,2327.0,False,False,False,4.7315068493150685,1727.0,False,False,False,1.0,2020-01-06,31-90,17ebce163a560e730e429db795105a823f86593a85ca40de95f4dffa60a26cf4,21719207118757,1578344519207118757,7.375342465753425,2692.0,False,False,False,True,other,1578344519207118757,843.2931187094385,max_pain,NQ:2020-01-06:max_pain:1:8200.0,-19673477278031,1578303126522721969,5.7315068493150685,2092.0,False,False,False,False,overnight_or_pre,1578303126522721969,native,8200.0,271,1,1.0,NQ,7.301369863013699,2665.0,False,False,False,5.7972602739726025,2116.0,False,False,False,91.25,baseline_proxy_not_known_inventory,,8797.5,8200.0,high,2020
1462079.9530226234,1578322800000000000,1,9.375342465753425,3422.0,False,False,False,7.7315068493150685,2822.0,False,False,False,-2.0,2020-01-06,31-90,17ebce163a560e730e429db795105a823f86593a85ca40de95f4dffa60a26cf4,21719207118757,1578344519207118757,7.375342465753425,2692.0,False,False,False,True,other,1578344519207118757,843.2931187094385,top_gamma,NQ:2020-01-06:top_gamma:1:8200.0,-19673477278031,1578303126522721969,5.7315068493150685,2092.0,False,False,False,False,overnight_or_pre,1578303126522721969,native,8200.0,271,1,1.0,NQ,7.301369863013699,2665.0,False,False,False,5.7972602739726025,2116.0,False,False,False,91.25,baseline_proxy_not_known_inventory,,8797.5,8200.0,high,2020
1462079.9530226234,1578322800000000000,1,9.375342465753425,3422.0,False,False,False,7.7315068493150685,2822.0,False,False,False,-2.0,2020-01-06,31-90,17ebce163a560e730e429db795105a823f86593a85ca40de95f4dffa60a26cf4,21719207118757,1578344519207118757,7.375342465753425,2692.0,False,False,False,True,other,1578344519207118757,843.2931187094385,top_vanna,NQ:2020-01-06:top_vanna:1:8200.0,-19673477278031,1578303126522721969,5.7315068493150685,2092.0,False,False,False,False,overnight_or_pre,1578303126522721969,native,8200.0,271,1,1.0,NQ,7.301369863013699,2665.0,False,False,False,5.7972602739726025,2116.0,False,False,False,91.25,baseline_proxy_not_known_inventory,,8797.5,8200.0,high,2020
1462079.9530226234,1578322800000000000,1,5.375342465753425,1962.0,False,False,False,3.7315068493150685,1362.0,False,False,False,2.0,2020-01-06,31-90,17ebce163a560e730e429db795105a823f86593a85ca40de95f4dffa60a26cf4,21719207118757,1578344519207118757,7.375342465753425,2692.0,False,False,False,True,other,1578344519207118757,843.2931187094385,top_vega,NQ:2020-01-06:top_vega:1:8200.0,-19673477278031,1578303126522721969,5.7315068493150685,2092.0,False,False,False,False,overnight_or_pre,1578303126522721969,native,8200.0,271,1,1.0,NQ,7.301369863013699,2665.0,False,False,False,5.7972602739726025,2116.0,False,False,False,91.25,baseline_proxy_not_known_inventory,,8797.5,8200.0,high,2020
2589948.865948349,1578495600000000000,1,4.088785046728972,875.0,False,False,False,1.411214953271028,302.0,False,False,False,1.0,2020-01-08,31-90,17ebce163a560e730e429db795105a823f86593a85ca40de95f4dffa60a26cf4,19804329091333,1578515404329091333,5.088785046728972,1089.0,False,False,False,True,rth,1578515404329091333,694.9259868301682,key_gamma,NQ:2020-01-08:key_gamma:1:8700.0,-51502509653061,1578444097490346939,0.411214953271028,88.0,False,False,False,False,overnight_or_pre,1578444097490346939,native,8700.0,300,1,1.0,NQ,5.088785046728972,1089.0,False,False,False,2.7663551401869158,592.0,False,False,False,53.5,baseline_proxy_not_known_inventory,-2589948.865948349,8890.25,8700.0,high,2020
2589948.865948349,1578495600000000000,1,3.088785046728972,661.0,False,False,False,2.411214953271028,516.0,False,False,False,2.0,2020-01-08,31-90,17ebce163a560e730e429db795105a823f86593a85ca40de95f4dffa60a26cf4,19804329091333,1578515404329091333,5.088785046728972,1089.0,False,False,False,True,rth,1578515404329091333,694.9259868301682,put_wall,NQ:2020-01-08:put_wall:1:8700.0,-51502509653061,1578444097490346939,0.411214953271028,88.0,False,False,False,False,overnight_or_pre,1578444097490346939,native,8700.0,300,1,1.0,NQ,5.088785046728972,1089.0,False,False,False,2.7663551401869158,592.0,False,False,False,53.5,baseline_proxy_not_known_inventory,-2589948.865948349,8890.25,8700.0,high,2020
2589948.865948349,1578495600000000000,1,7.088785046728972,1517.0,False,False,False,1.588785046728972,340.0,False,False,False,-2.0,2020-01-08,31-90,17ebce163a560e730e429db795105a823f86593a85ca40de95f4dffa60a26cf4,19804329091333,1578515404329091333,5.088785046728972,1089.0,False,False,False,True,rth,1578515404329091333,694.9259868301682,max_pain,NQ:2020-01-08:max_pain:1:8700.0,-51502509653061,1578444097490346939,0.411214953271028,88.0,False,False,False,False,overnight_or_pre,1578444097490346939,native,8700.0,300,1,1.0,NQ,5.088785046728972,1089.0,False,False,False,2.7663551401869158,592.0,False,False,False,53.5,baseline_proxy_not_known_inventory,,8890.25,8700.0,high,2020
2589948.865948349,1578495600000000000,1,6.088785046728972,1303.0,False,False,False,0.5887850467289719,126.0,False,False,False,-1.0,2020-01-08,31-90,17ebce163a560e730e429db795105a823f86593a85ca40de95f4dffa60a26cf4,19804329091333,1578515404329091333,5.088785046728972,1089.0,False,False,False,True,rth,1578515404329091333,694.9259868301682,top_gamma,NQ:2020-01-08:top_gamma:1:8700.0,-51502509653061,1578444097490346939,0.411214953271028,88.0,False,False,False,False,overnight_or_pre,1578444097490346939,native,8700.0,300,1,1.0,NQ,5.088785046728972,1089.0,False,False,False,2.7663551401869158,592.0,False,False,False,53.5,baseline_proxy_not_known_inventory,,8890.25,8700.0,high,2020
