abs_gamma_sum,available_at_ns,board_n_live,control.high.s,control.high.ticks,control.high.within_16,control.high.within_4,control.high.within_8,control.low.s,control.low.ticks,control.low.within_16,control.low.within_4,control.low.within_8,control.offset_s,day,expiry_bucket,extremes_sha256,high.dt_after_available_ns,high.extreme_time_ns,high.s,high.ticks,high.within_16,high.within_4,high.within_8,high_after_available,high_session_bucket,high_time_ns,implied_move,kind,level_id,low.dt_after_available_ns,low.extreme_time_ns,low.s,low.ticks,low.within_16,low.within_4,low.within_8,low_after_available,low_session_bucket,low_time_ns,map_status,mapped_nq,oi_sum,rank,ratio,root,rth_high.s,rth_high.ticks,rth_high.within_16,rth_high.within_4,rth_high.within_8,rth_low.s,rth_low.ticks,rth_low.within_16,rth_low.within_4,rth_low.within_8,s_prior_rth_range,scenario_label,signed_gamma,spot,strike,vol_regime,year
4864823450.982771,1577977200000000000,615,5.149361351606901,1302.7884219565458,False,False,False,3.06240482986777,774.7884219565458,False,False,False,-2.0,2020-01-02,1-7,9aefce4864bf0b799d6e1ea8ba60646226a5561d63fda0ba9b84f3c73e2e3714,25140000000000,1578002340000000000,3.1493613516069003,796.7884219565458,False,False,False,True,other,1578002340000000000,1.9629984432526089,key_gamma,SPY:2020-01-02:key_gamma:1:320.0,-57480000000000,1577919720000000000,1.06240482986777,268.7884219565458,False,False,False,False,overnight_or_pre,1577919720000000000,ok,8702.302894510864,2284672,1,27.194696545346446,SPY,2.959638031448798,748.7884219565458,False,False,False,1.580191391132592,399.7884219565458,False,False,False,63.25,baseline_proxy_not_known_inventory,1016414111.7531782,323.87,320.0,low,2020
4864823450.982771,1577977200000000000,615,5.149361351606901,1302.7884219565458,False,False,False,3.06240482986777,774.7884219565458,False,False,False,-2.0,2020-01-02,1-7,9aefce4864bf0b799d6e1ea8ba60646226a5561d63fda0ba9b84f3c73e2e3714,25140000000000,1578002340000000000,3.1493613516069003,796.7884219565458,False,False,False,True,other,1578002340000000000,1.9629984432526089,call_wall,SPY:2020-01-02:call_wall:1:320.0,-57480000000000,1577919720000000000,1.06240482986777,268.7884219565458,False,False,False,False,overnight_or_pre,1577919720000000000,ok,8702.302894510864,2284672,1,27.194696545346446,SPY,2.959638031448798,748.7884219565458,False,False,False,1.580191391132592,399.7884219565458,False,False,False,63.25,baseline_proxy_not_known_inventory,1016414111.7531782,323.87,320.0,low,2020
4864823450.982771,1577977200000000000,615,1.290284061243216,326.44186749453365,False,False,False,3.3772405829823464,854.4418674945337,False,False,False,1.0,2020-01-02,1-7,9aefce4864bf0b799d6e1ea8ba60646226a5561d63fda0ba9b84f3c73e2e3714,25140000000000,1578002340000000000,0.29028406124321604,73.44186749453365,False,False,False,True,other,1578002340000000000,1.9629984432526089,put_wall,SPY:2020-01-02:put_wall:1:328.0,-57480000000000,1577919720000000000,2.3772405829823464,601.4418674945337,False,False,False,False,overnight_or_pre,1577919720000000000,ok,8919.860466873633,2284672,1,27.194696545346446,SPY,0.48000738140131877,121.44186749453365,False,False,False,1.8594540217175244,470.44186749453365,False,False,False,63.25,baseline_proxy_not_known_inventory,-473676084.0866687,323.87,328.0,low,2020
4864823450.982771,1577977200000000000,615,17.04803164979495,4313.152007398123,False,False,False,14.961075128055821,3785.152007398123,False,False,False,-1.0,2020-01-02,1-7,9aefce4864bf0b799d6e1ea8ba60646226a5561d63fda0ba9b84f3c73e2e3714,25140000000000,1578002340000000000,16.04803164979495,4060.152007398123,False,False,False,True,other,1578002340000000000,1.9629984432526089,gamma_flip,SPY:2020-01-02:gamma_flip:1:290.0,-57480000000000,1577919720000000000,13.961075128055821,3532.152007398123,False,False,False,False,overnight_or_pre,1577919720000000000,ok,7886.461998150469,2284672,1,27.194696545346446,SPY,15.858308329636849,4012.152007398123,False,False,False,14.478861689320643,3663.152007398123,False,False,False,63.25,baseline_proxy_not_known_inventory,,323.87,290.0,low,2020
4864823450.982771,1577977200000000000,615,7.589006764457046,1920.0187114076325,False,False,False,5.502050242717915,1392.0187114076325,False,False,False,-1.0,2020-01-02,1-7,9aefce4864bf0b799d6e1ea8ba60646226a5561d63fda0ba9b84f3c73e2e3714,25140000000000,1578002340000000000,6.589006764457046,1667.0187114076325,False,False,False,True,other,1578002340000000000,1.9629984432526089,max_pain,SPY:2020-01-02:max_pain:1:312.0,-57480000000000,1577919720000000000,4.502050242717915,1139.0187114076325,False,False,False,False,overnight_or_pre,1577919720000000000,ok,8484.745322148092,2284672,1,27.194696545346446,SPY,6.399283444298943,1619.0187114076325,False,False,False,5.019836803982737,1270.0187114076325,False,False,False,63.25,baseline_proxy_not_known_inventory,,323.87,312.0,low,2020
4864823450.982771,1577977200000000000,615,5.149361351606901,1302.7884219565458,False,False,False,3.06240482986777,774.7884219565458,False,False,False,-2.0,2020-01-02,1-7,9aefce4864bf0b799d6e1ea8ba60646226a5561d63fda0ba9b84f3c73e2e3714,25140000000000,1578002340000000000,3.1493613516069003,796.7884219565458,False,False,False,True,other,1578002340000000000,1.9629984432526089,top_gamma,SPY:2020-01-02:top_gamma:1:320.0,-57480000000000,1577919720000000000,1.06240482986777,268.7884219565458,False,False,False,False,overnight_or_pre,1577919720000000000,ok,8702.302894510864,2284672,1,27.194696545346446,SPY,2.959638031448798,748.7884219565458,False,False,False,1.580191391132592,399.7884219565458,False,False,False,63.25,baseline_proxy_not_known_inventory,,323.87,320.0,low,2020
4864823450.982771,1577977200000000000,615,0.709715938756784,179.55813250546635,False,False,False,1.3772405829823464,348.44186749453365,False,False,False,-1.0,2020-01-02,1-7,9aefce4864bf0b799d6e1ea8ba60646226a5561d63fda0ba9b84f3c73e2e3714,25140000000000,1578002340000000000,0.29028406124321604,73.44186749453365,False,False,False,True,other,1578002340000000000,1.9629984432526089,top_gamma,SPY:2020-01-02:top_gamma:2:328.0,-57480000000000,1577919720000000000,2.3772405829823464,601.4418674945337,False,False,False,False,overnight_or_pre,1577919720000000000,ok,8919.860466873633,2284672,2,27.194696545346446,SPY,0.48000738140131877,121.44186749453365,False,False,False,1.8594540217175244,470.44186749453365,False,False,False,63.25,baseline_proxy_not_known_inventory,,323.87,328.0,low,2020
4864823450.982771,1577977200000000000,615,0.42953864518184215,108.67327723100607,False,False,False,1.6574178765572882,419.32672276899393,False,False,False,1.0,2020-01-02,1-7,9aefce4864bf0b799d6e1ea8ba60646226a5561d63fda0ba9b84f3c73e2e3714,25140000000000,1578002340000000000,1.4295386451818421,361.67327723100607,False,False,False,True,other,1578002340000000000,1.9629984432526089,top_gamma,SPY:2020-01-02:top_gamma:3:324.0,-57480000000000,1577919720000000000,0.6574178765572882,166.32672276899393,False,False,False,False,overnight_or_pre,1577919720000000000,ok,8811.081680692248,2284672,3,27.194696545346446,SPY,1.2398153250237394,313.67327723100607,False,False,False,0.13963131529246614,35.32672276899393,False,False,False,63.25,baseline_proxy_not_known_inventory,,323.87,324.0,low,2020
4864823450.982771,1577977200000000000,615,2.1493613516069003,543.7884219565458,False,False,False,0.06240482986776992,15.78842195654579,True,False,False,1.0,2020-01-02,1-7,9aefce4864bf0b799d6e1ea8ba60646226a5561d63fda0ba9b84f3c73e2e3714,25140000000000,1578002340000000000,3.1493613516069003,796.7884219565458,False,False,False,True,other,1578002340000000000,1.9629984432526089,top_vanna,SPY:2020-01-02:top_vanna:1:320.0,-57480000000000,1577919720000000000,1.06240482986777,268.7884219565458,False,False,False,False,overnight_or_pre,1577919720000000000,ok,8702.302894510864,2284672,1,27.194696545346446,SPY,2.959638031448798,748.7884219565458,False,False,False,1.580191391132592,399.7884219565458,False,False,False,63.25,baseline_proxy_not_known_inventory,,323.87,320.0,low,2020
4864823450.982771,1577977200000000000,615,1.290284061243216,326.44186749453365,False,False,False,3.3772405829823464,854.4418674945337,False,False,False,1.0,2020-01-02,1-7,9aefce4864bf0b799d6e1ea8ba60646226a5561d63fda0ba9b84f3c73e2e3714,25140000000000,1578002340000000000,0.29028406124321604,73.44186749453365,False,False,False,True,other,1578002340000000000,1.9629984432526089,top_vanna,SPY:2020-01-02:top_vanna:2:328.0,-57480000000000,1577919720000000000,2.3772405829823464,601.4418674945337,False,False,False,False,overnight_or_pre,1577919720000000000,ok,8919.860466873633,2284672,2,27.194696545346446,SPY,0.48000738140131877,121.44186749453365,False,False,False,1.8594540217175244,470.44186749453365,False,False,False,63.25,baseline_proxy_not_known_inventory,,323.87,328.0,low,2020
